--- Pendolo di torsione ---
Tempo,Forzante,Pendolo
9,960	3,190	0,081
9,980	6,227	0,086
10,000	9,176	0,073
10,020	12,010	0,078
10,040	14,643	0,063
10,060	17,086	0,066
10,080	19,274	0,046
10,100	21,160	0,050
10,120	22,742	0,026
10,140	23,999	0,029
10,160	24,908	0,008
10,180	25,453	0,009
10,200	25,638	-0,013
10,220	25,440	-0,009
10,240	24,873	-0,033
10,260	23,950	-0,034
10,280	22,680	-0,052
10,300	21,094	-0,052
10,320	19,182	-0,071
10,340	16,976	-0,067
10,360	14,550	-0,081
10,380	11,878	-0,075
10,400	9,070	-0,091
10,420	6,117	-0,084
10,440	3,094	-0,092
10,460	-0,004	-0,085
10,480	-3,067	-0,092
10,500	-6,135	-0,079
10,520	-9,057	-0,086
10,540	-11,865	-0,067
10,560	-14,506	-0,075
10,580	-16,937	-0,054
10,600	-19,094	-0,055
10,620	-20,997	-0,034
10,640	-22,579	-0,037
10,660	-23,832	-0,019
10,680	-24,719	-0,017
10,700	-25,238	0,007
10,720	-25,409	0,005
10,740	-25,216	0,031
10,760	-24,658	0,028
10,780	-23,722	0,049
10,800	-22,417	0,047
10,820	-20,817	0,067
10,840	-18,888	0,065
10,860	-16,695	0,084
10,880	-14,225	0,081
10,900	-11,571	0,092
10,920	-8,741	0,088
10,940	-5,761	0,099
10,960	-2,716	0,090
10,980	0,365	0,098
11,000	3,454	0,087
11,020	6,478	0,091
11,040	9,422	0,079
11,060	12,226	0,080
11,080	14,858	0,066
11,100	17,271	0,067
11,120	19,437	0,054
11,140	21,300	0,046
11,160	22,865	0,036
11,180	24,086	0,025
11,200	24,974	0,014
11,220	25,479	0,007
11,240	25,629	-0,009
11,260	25,405	-0,019
11,280	24,816	-0,034
11,300	23,867	-0,046
11,320	22,553	-0,055
11,340	20,953	-0,065
11,360	19,006	-0,072
11,380	16,778	-0,083
11,400	14,335	-0,088
11,420	11,659	-0,092
11,440	8,833	-0,093
11,460	5,875	-0,097
11,480	2,834	-0,096
11,500	-0,242	-0,101
11,520	-3,313	-0,092
11,540	-6,354	-0,095
11,560	-9,308	-0,083
11,580	-12,081	-0,082
